Name ,Townhall,League_Points,WarStarWon
Auto(TH),13,4129,306
ViktoRiYa,12,3719,303
SultanPeat,13,3299,414
TamickNTJ,14,3164,204
Kitti_k,11,2169,29
ยะเหยิม,8,2115,31
T I N G,9,1931,63
อินไง,11,1699,176
พระเจ้าเสือ,11,1689,198
ta,10,1593,17
ppgo,8,1385,19
THe,8,1372,19
COC,9,1370,28
P`PAKAWAT,9,1236,0
ej HandSOMecool,9,1230,14
bb2499,8,1211,28
aoN,9,1176,38
Senkiji,12,1148,58
jjjjjjj,9,1108,29
(/_;),9,996,72
DAN Hee R9,9,971,24
SabRee,9,968,0
น็อต,8,962,3
เอก,8,925,19
sack,8,867,0
New_jakk,8,866,41
KMapTHaMMaNat2,7,842,30
MiNase1478,6,820,8
KAKà,8,812,0
xcvx.,8,797,0
NokkRataksaetae,7,776,3
จ้ะเอ๋,8,736,1
SH.DEL,8,720,27
THaMMaNat,7,694,15
เเม็ก,6,691,0
วา,8,688,0
kaNd9ii,6,579,0
jabtwopeRs,5,514,0
